Name,City,State,Details URL
A Plex Ashoka Theatre,Hanamkonda,Telangana,https://www.cinemaprofile.com/theatre/view-a-plex-ashoka-hanamkonda-telangana.html
A World Multiplex Theatre,Botad,Gujarat,https://www.cinemaprofile.com/theatre/view-a-world-multiplex-botad-gujarat.html
A1 Studio Theatre,Mumbai,Maharashtra,https://www.cinemaprofile.com/theatre/view-a1-studio-mumbai-maharashtra.html
A1 Theatre,Karur,Tamil Nadu,https://www.cinemaprofile.com/theatre/view-a1-theatre-karur-tamil-nadu.html
Aakriti Cinema Theatre,Rewa,Madhya Pradesh,https://www.cinemaprofile.com/theatre/view-aakriti-cinema-rewa-madhya-pradesh.html
Aakriti Cinema Theatre,Kasdol,Chhattisgarh,https://www.cinemaprofile.com/theatre/view-aakriti-cinema-kasdol-chhattisgarh.html
Aambe Theatre,Basgaon,Uttar Pradesh,https://www.cinemaprofile.com/theatre/view-aambe-theatre-basgaon-uttar-pradesh.html
Aamrapali Cinema Hall Theatre,Mahua,Bihar,https://www.cinemaprofile.com/theatre/view-aamrapali-cinema-hall-mahua-bihar.html
Aanad Talkies Theatre,Sangli,Maharashtra,https://www.cinemaprofile.com/theatre/view-aanad-talkies-sangli-maharashtra.html
Aanam Theatre,Amritsar,Punjab,https://www.cinemaprofile.com/theatre/view-aanam-theatre-amritsar-punjab.html
Aanchal Cinema Theatre,Barmer,Rajasthan,https://www.cinemaprofile.com/theatre/view-aanchal-cinema-barmer-rajasthan.html
Aara Cinema Theatre,Bodinayakkanur,Tamil Nadu,https://www.cinemaprofile.com/theatre/view-aara-cinema-bodinayakkanur-tamil-nadu.html
Aarti Palace Theatre,Ludhiana,Punjab,https://www.cinemaprofile.com/theatre/view-aarti-palace-ludhiana-punjab.html
Aarzoo Cinema Theatre,Ratlam,Madhya Pradesh,https://www.cinemaprofile.com/theatre/view-aarzoo-cinema-ratlam-madhya-pradesh.html
Aascar Cinemas Theatre,Katpadi,Tamil Nadu,https://www.cinemaprofile.com/theatre/view-aascar-cinemas-katpadi-tamil-nadu.html
Aashirvad Cinemas Theatre,Kunnathunad,Kerala,https://www.cinemaprofile.com/theatre/view-aashirvad-cinemas-kunnathunad-kerala.html
Aashirvad Cineplex Theatre,Vaikom,Kerala,https://www.cinemaprofile.com/theatre/view-aashirvad-cineplex-vaikom-kerala.html
Aashirvad Cineplexx Theatre,Thodupuzha,Kerala,https://www.cinemaprofile.com/theatre/view-aashirvad-cineplexx-thodupuzha-kerala.html
Aastha Cinema Theatre,Indore,Madhya Pradesh,https://www.cinemaprofile.com/theatre/view-aastha-cinema-indore-madhya-pradesh.html
Aathi Muthu Saroja Theatre,Peravurani,Tamil Nadu,https://www.cinemaprofile.com/theatre/view-aathi-muthu-saroja-theatre-peravurani-tamil-nadu.html
Abbas Theatre,Yemmiganur,Andhra Pradesh,https://www.cinemaprofile.com/theatre/view-abbas-theatre-yemmiganur-andhra-pradesh.html
Abhay Cinema Theatre,Varanasi,Uttar Pradesh,https://www.cinemaprofile.com/theatre/view-abhay-cinema-varanasi-uttar-pradesh.html
Abhay Talkies Theatre,Chandrapur,Maharashtra,https://www.cinemaprofile.com/theatre/view-abhay-talkies-chandrapur-maharashtra.html
Abhideep Chitra Mandir Theatre,Jakhania,Uttar Pradesh,https://www.cinemaprofile.com/theatre/view-abhideep-chitra-mandir-jakhania-uttar-pradesh.html
Abhilash Theatre,Gauribidanur,Karnataka,https://www.cinemaprofile.com/theatre/view-abhilash-theatre-gauribidanur-karnataka.html
Abhilash Theatre,Mukkam,Kerala,https://www.cinemaprofile.com/theatre/view-abhilash-theatre-mukkam-kerala.html
Abhiman Theatre,Bengaluru,Karnataka,https://www.cinemaprofile.com/theatre/view-abhiman-theatre-bengaluru-karnataka.html
Abhinay Theatre,Bengaluru,Karnataka,https://www.cinemaprofile.com/theatre/view-abhinay-theatre-bengaluru-karnataka.html
Abhiram Theatre,Nandyal,Andhra Pradesh,https://www.cinemaprofile.com/theatre/view-abhiram-theatre-nandyal-andhra-pradesh.html
Abhirami Theatre,Mettur,Tamil Nadu,https://www.cinemaprofile.com/theatre/view-abhirami-theatre-mettur-tamil-nadu.html
Abhishek Cinema Theatre,Wada,Maharashtra,https://www.cinemaprofile.com/theatre/view-abhishek-cinema-wada-maharashtra.html
Abhishek Cinema Theatre,Dondaicha,Maharashtra,https://www.cinemaprofile.com/theatre/view-abhishek-cinema-dondaicha-maharashtra.html
Abhishek Cinema Theatre,Siwan,Bihar,https://www.cinemaprofile.com/theatre/view-abhishek-cinema-siwan-bihar.html
Abhishek Cineplex Theatre,New Delhi,Delhi,https://www.cinemaprofile.com/theatre/view-abhishek-cineplex-new-delhi-delhi.html
Abhishek Picture Palace Theatre,Jhanjharpur,Bihar,https://www.cinemaprofile.com/theatre/view-abhishek-picture-palace-jhanjharpur-bihar.html
Abi & Abi Pictures Theatre,Chennai,Tamil Nadu,https://www.cinemaprofile.com/theatre/view-abi-amp-abi-pictures-chennai-tamil-nadu.html
Abirami Ambigai Theatre,Madurai,Tamil Nadu,https://www.cinemaprofile.com/theatre/view-abirami-ambigai-theatre-madurai-tamil-nadu.html
Abirami Mega Mall Theatre,Chennai,Tamil Nadu,https://www.cinemaprofile.com/theatre/view-abirami-mega-mall-chennai-tamil-nadu.html
Abirami Multiplex Theatre,Erode,Tamil Nadu,https://www.cinemaprofile.com/theatre/view-abirami-multiplex-erode-tamil-nadu.html
Abirami Talkies Theatre,Ambasamudram,Tamil Nadu,https://www.cinemaprofile.com/theatre/view-abirami-talkies-ambasamudram-tamil-nadu.html
Abirami Theatre,Mettupalayam,Tamil Nadu,https://www.cinemaprofile.com/theatre/view-abirami-theatre-mettupalayam-tamil-nadu.html
Abirami Theatre,Tirupur,Tamil Nadu,https://www.cinemaprofile.com/theatre/view-abirami-theatre-tirupur-tamil-nadu.html
Abirami Theatre,Pollachi,Tamil Nadu,https://www.cinemaprofile.com/theatre/view-abirami-theatre-pollachi-tamil-nadu.html
Abirami Theatre,Polur,Tamil Nadu,https://www.cinemaprofile.com/theatre/view-abirami-theatre-polur-tamil-nadu.html
Abirami Theatre,Paramathi Velur,Tamil Nadu,https://www.cinemaprofile.com/theatre/view-abirami-theatre-paramathi-velur-tamil-nadu.html
Abirami Theatre: Kulothungan Complex,Namakkal,Tamil Nadu,https://www.cinemaprofile.com/theatre/view-abirami-theatre-kulothungan-complex-namakkal-tamil-nadu.html
Abrar Army Centre Theatre,Pune,Maharashtra,https://www.cinemaprofile.com/theatre/view-abrar-army-centre-pune-maharashtra.html
Accel Animation Studios Theatre,Chennai,Tamil Nadu,https://www.cinemaprofile.com/theatre/view-accel-animation-studios-chennai-tamil-nadu.html
Ace Theatre,Mukundapuram,Kerala,https://www.cinemaprofile.com/theatre/view-ace-theatre-mukundapuram-kerala.html
Achireddy Cinema Hall Theatre,Nalgonda,Telangana,https://www.cinemaprofile.com/theatre/view-achireddy-cinema-hall-nalgonda-telangana.html
Baba Theatre,Mahabub Nagar,Telangana,https://www.cinemaprofile.com/theatre/view-baba-theatre-mahabub-nagar-telangana.html
Babu Talkies Theatre,Ottapalam,Kerala,https://www.cinemaprofile.com/theatre/view-babu-talkies-ottapalam-kerala.html
Babu Theatre Complex,Kanchipuram,Tamil Nadu,https://www.cinemaprofile.com/theatre/view-babu-theatre-complex-kanchipuram-tamil-nadu.html
Baby Theatre,Changanacherry,Kerala,https://www.cinemaprofile.com/theatre/view-baby-theatre-changanacherry-kerala.html
Badradri Theatre,Bhuvanagiri,Telangana,https://www.cinemaprofile.com/theatre/view-badradri-theatre-bhuvanagiri-telangana.html
Bahar Cinema Theatre,Mumbai,Maharashtra,https://www.cinemaprofile.com/theatre/view-bahar-cinema-mumbai-maharashtra.html
Bajarang Cine World Theatre,Surat,Gujarat,https://www.cinemaprofile.com/theatre/view-bajarang-cine-world-surat-gujarat.html
